source_id, target_id, reporter
'10.1111/1365-2656.12457', '10.5061/dryad.34621', 'Crossref'
'10.1111/1365-2745.12240', '10.5061/dryad.7tq37', 'Crossref'
'10.1111/1365-2664.12366', '10.5061/dryad.525c1', 'Crossref'
'10.1111/1365-2435.12596', '10.5061/dryad.2dq44', 'Crossref'
'10.1111/1365-2435.12709', '10.5061/dryad.2td06', 'Crossref'
'10.1111/1365-2745.12544', '10.5061/dryad.m8446', 'Crossref'
'10.1111/1365-2745.12434', '10.5061/dryad.h29r7', 'Crossref'
'10.1111/1365-2664.12357', '10.5061/dryad.k0p51', 'Crossref'
'10.1111/1365-2656.12505', '10.5061/dryad.mt240', 'Crossref'
'10.1111/1365-2664.12372', '10.5061/dryad.7s403', 'Crossref'
'10.1111/1365-2435.12527', '10.5061/dryad.vh8v4', 'Crossref'
'10.1111/1365-2745.12436', '10.5061/dryad.j2qv8', 'Crossref'
'10.1111/1365-2745.12538', '10.5061/dryad.nh8c7', 'Crossref'
'10.1111/1365-2664.12373', '10.5061/dryad.m07bn', 'Crossref'
'10.1111/nph.14285', '10.5061/dryad.1r8c2', 'Crossref'
'10.1111/1365-2656.12382', '10.5061/dryad.r390f', 'Crossref'
'10.1111/1365-2664.12471', '10.5061/dryad.q9690', 'Crossref'
'10.1111/plb.12456', '10.5061/dryad.1k09d', 'Crossref'
'10.1111/let.12207', '10.5061/dryad.pb1sb', 'Crossref'
'10.1080/13658816.2015.1070267', '10.5061/dryad.rg0v3', 'Crossref'
'10.1093/beheco/aru078', '10.5061/dryad.g3p4h', 'Crossref'
'10.1093/beheco/art101', '10.5061/dryad.g3p4h', 'Crossref'
'10.1139/cjfas-2014-0527', '10.5061/dryad.8710', 'Crossref'
'10.1139/cjb-2015-0031', '10.5061/dryad.ff982', 'Crossref'
'10.1186/s12863-016-0444-8', '10.5061/dryad.th092', 'Crossref'
'10.1139/cjb-2016-0022', '10.5061/dryad.04f8c', 'Crossref'
'10.1111/2041-210X.12565', '10.5061/dryad.tg37f', 'Crossref'
'10.1186/s12862-016-0769-y', '10.5061/dryad.5027d', 'Crossref'
'10.1186/s12898-016-0083-y', '10.5061/dryad.8s3p0', 'Crossref'
'10.1261/rna.060830.117', '10.5061/dryad.d644f', 'Crossref'
'10.1186/s12862-016-0736-7', '10.5061/dryad.7117c', 'Crossref'
'10.1186/s12862-016-0758-1', '10.5061/dryad.q0j90', 'Crossref'
'10.1186/s12862-016-0760-7', '10.5061/dryad.8ff71', 'Crossref'
'10.1186/s12862-016-0782-1', '10.5061/dryad.bj7n9', 'Crossref'
'10.1186/s12862-016-0793-y', '10.5061/dryad.bf74g', 'Crossref'
'10.1186/s12870-017-0981-y', '10.5061/dryad.0bn55', 'Crossref'
'10.1186/s12862-016-0811-0', '10.5061/dryad.f8f8h', 'Crossref'
'10.1186/s12864-016-3206-0', '10.5061/dryad.1q7q4', 'Crossref'
'10.1186/s12862-016-0807-9', '10.5061/dryad.nk3b3', 'Crossref'
'10.1186/s12898-016-0085-9', '10.5061/dryad.9522r', 'Crossref'
'10.1186/s12898-017-0123-2', '10.5061/dryad.1gq66', 'Crossref'
'10.1111/1755-0998.12577', '10.5061/dryad.446sv.2', 'Crossref'
'10.1186/s12862-017-0941-z', '10.5061/dryad.74f2r.2', 'Crossref'
'10.1186/s12862-016-0737-6', '10.5061/dryad.8m68k', 'Crossref'
'10.1186/s12862-016-0710-4', '10.5061/dryad.m2h55', 'Crossref'
'10.1186/s12862-016-0695-z', '10.5061/dryad.k2f04', 'Crossref'
'10.1186/s12898-017-0128-x', '10.5061/dryad.1q413', 'Crossref'
'10.1007/s00606-017-1392-0', '10.5061/dryad.1br13', 'Crossref'
'10.1007/s00606-017-1413-z', '10.5061/dryad.s6t70', 'Crossref'
'10.1007/s13595-016-0555-4', '10.5061/dryad.234', 'Crossref'
'10.1007/s13595-016-0583-0', '10.5061/dryad.234', 'Crossref'
'10.1186/s12711-016-0266-1', '10.5061/dryad.th092', 'Crossref'
'10.1111/pala.12232', '10.5061/dryad.0cn8b', 'Crossref'
'10.1111/pala.12243', '10.5061/dryad.jd23d', 'Crossref'
'10.1111/pala.12236', '10.5061/dryad.7dq0j', 'Crossref'
'10.1111/pala.12277', '10.5061/dryad.n850m', 'Crossref'
'10.1111/pala.12259', '10.5061/dryad.04gj1', 'Crossref'
'10.1111/pala.12299', '10.5061/dryad.h02q0', 'Crossref'
'10.1111/pala.12269', '10.5061/dryad.7jh0q', 'Crossref'
'10.1111/pala.12247', '10.5061/dryad.b3g67', 'Crossref'
'10.1111/pala.12234', '10.5061/dryad.f5f1t', 'Crossref'
'10.1111/pala.12231', '10.5061/dryad.bp685', 'Crossref'
'10.1111/pala.12245', '10.5061/dryad.304n7', 'Crossref'
